member_casual,month,ride_count
casual,January,24740
casual,February,41173
casual,March,87850
casual,April,131514
casual,May,245143
casual,June,308487
casual,July,357769
casual,August,337878
casual,September,265268
casual,October,224038
casual,November,99082
casual,December,28090
member,January,113042
member,February,160281
member,March,229165
member,April,316738
member,May,408604
member,June,454108
member,July,511287
member,August,452439
member,September,449294
member,October,422058
member,November,257401
member,December,112455
